code,displayName,notes
NOAATANDC,NOAA Tides and Currents,"NOAA Tides and Currents API"
LIGHTHOUSE,Lighthouse,"The PD endpoint for Lighthouse"
NDFD,NDFD,National Digital Forecast Database
tcoon,TCOON,Texas Coastal Ocean Observation Network
NDFD_EXP,NDFD Experimental,National Digital Forecast Database Experimental Server
NDBC,NDBC,National Data Buoy Center
