dataLocationCode,dataSourceCode,dataSourceLocationCode,priorityOrder
packChan,NOAATANDC,"8775792",0
lagunamadre,tcoon,"48646513645",0
SouthBirdIsland,LIGHTHOUSE,"013",0
NPSBI,LIGHTHOUSE,171,0
PACKER,LIGHTHOUSE,005,0
SBirdIsland,NDFD,0,0
Freeport,NDBC,42019,0
Freeport,NOAATANDC,8772471,0
Aransas,NOAATANDC,8775241,0
Aransas,NDFD,0,0
PortIsabel,NOAATANDC,8779770,0
PortIsabel,NDFD,0,0
NorthJetty,NOAATANDC,8771341,0
NorthJetty,NDFD,0,0
