dataLocationCode,dataSourceCode,dataSourceLocationCode,priorityOrder
"PLavaca","NOAATANDC","8773259",0
"Seadrift","NOAATANDC","8773037",0
"AransasWildlifeRefuge","NOAATANDC","8774230",0
"EspirituSantoBay","NDFD_JSON",0,0
